row_number,prediction,actual_value,current_value,dist_baseline,dist_prediction,accuracy
100,1.4721045,-1.1,-0.4,0.70000005,2.5721045,0
101,0.4495229,-1.9,-1.1,0.79999995,2.3495228,0
102,0.70251167,-0.1,-1.9,1.8,0.8025117,55.41601
103,2.6005604,2.4,-0.1,2.5,0.20056033,91.977585
104,6.2132583,7.2,2.4,4.7999997,0.98674154,79.44289
105,7.733167,9,7.2,1.8000002,1.2668328,29.620403
106,10.92377,10.3,9,1.3000002,0.62376976,52.01772
107,12.270592,11.4,10.3,1.0999994,0.8705921,20.855219
108,13.106062,13.2,11.4,1.8000002,0.093937874,94.781235
109,13.842778,14.7,13.2,1.5,0.8572216,42.851894
110,15.033931,15.4,14.7,0.6999998,0.36606884,47.704433
111,15.229418,15.9,15.4,0.5,0.6705818,0
112,14.861841,14.9,15.9,1,0.038158417,96.18416
113,13.661323,11.3,14.9,3.5999994,2.3613224,34.4077
114,11.959822,11.3,11.3,0,0.6598215,0
115,9.1297,6.8,11.3,4.5,2.3296995,48.2289
116,9.692325,5.7,6.8,1.1000004,3.9923248,0
117,6.9663296,4.6,5.7,1.0999999,2.3663297,0
118,6.6309566,4.4,4.6,0.19999981,2.2309566,0
119,5.8877096,7.9,4.4,3.5,2.0122905,42.505985
120,6.0858665,4.8,7.9,3.1,1.2858663,58.520443
121,8.108651,2.5,4.8,2.3000002,5.608651,0
122,6.392525,2.3,2.5,0.20000005,4.0925255,0
123,4.999726,3.6,2.3,1.3,1.3997259,0
124,4.4416246,4.7,3.6,1.0999999,0.25837517,76.511345
125,5.214468,4.9,4.7,0.20000029,0.3144679,0
126,6.335647,5.3,4.9,0.4000001,1.0356469,0
127,8.421096,6.7,5.3,1.3999996,1.721096,0
128,10.245429,7.6,6.7,0.9000001,2.6454291,0
129,10.934263,8.7,7.6,1.0999999,2.2342634,0
130,10.808406,9.6,8.7,0.9000006,1.2084055,0
131,12.014034,11.4,9.6,1.7999992,0.61403465,65.88695
132,12.164111,12.2,11.4,0.8000002,0.035888672,95.513916
133,13.692487,13.4,12.2,1.1999998,0.29248714,75.62607
134,13.463119,14.6,13.4,1.2000008,1.1368818,5.2599072
135,13.386379,14.5,14.6,0.10000038,1.1136208,0
136,13.591539,13.8,14.5,0.6999998,0.20846081,70.21987
137,12.231888,12,13.8,1.8000002,0.23188782,87.11735
138,10.797952,8.6,12,3.3999996,2.1979513,35.354362
139,8.81891,6,8.6,2.6000004,2.8189096,0
140,6.894075,4.7,6,1.3000002,2.194075,0
